codcli,marca,colecaoId,colecao,ordem,valor
2,KIKI,I25,Inverno 2025,1,8043
2,KIKI,I26,Inverno 2026,4,3
2,KIKI,V26,Verão 2026,3,5
2,MENINA ANJO,I25,Inverno 2025,1,5732
26,KIKI,V26,Verão 2026,3,6
28,KIKI,I26,Inverno 2026,4,7225
28,KIKI,V26,Verão 2026,3,6
143,KIKI,I26,Inverno 2026,4,7225
143,KIKI,V26,Verão 2026,3,6
144,KIKI,I26,Inverno 2026,4,31466
144,KIKI,V26,Verão 2026,3,24984
144,MENINA ANJO,I26,Inverno 2026,4,9001
144,MENINA ANJO,V26,Verão 2026,3,6255
144,VALENT,I26,Inverno 2026,4,283535
144,VALENT,V26,Verão 2026,3,7099
157,KIKI,V26,Verão 2026,3,6
158,KIKI,I25,Inverno 2025,1,9050
319,KIKI,I25,Inverno 2025,1,13734
319,KIKI,I26,Inverno 2026,4,5
319,KIKI,V26,Verão 2026,3,3
319,KIKI,V27,Verão 2027,6,389042
350,KIKI,V26,Verão 2026,3,513285
350,VALENT,V26,Verão 2026,3,10
352,KIKI,I25,Inverno 2025,1,9544
352,KIKI,I26,Inverno 2026,4,13
352,KIKI,V26,Verão 2026,3,532165
352,KIKI,V27,Verão 2027,6,3014090
430,KIKI,I25,Inverno 2025,1,7178
430,KIKI,I26,Inverno 2026,4,4
433,KIKI,I25,Inverno 2025,1,41196
433,KIKI,I26,Inverno 2026,4,13099
433,KIKI,V26,Verão 2026,3,15610
433,MENINA ANJO,I25,Inverno 2025,1,8554
433,MENINA ANJO,V26,Verão 2026,3,7477
468,KIKI,I25,Inverno 2025,1,7914
468,KIKI,I26,Inverno 2026,4,3
468,KIKI,V26,Verão 2026,3,3
468,KIKI,V27,Verão 2027,6,2365
468,MENINA ANJO,I25,Inverno 2025,1,7168
468,VALENT,V26,Verão 2026,3,3
475,KIKI,V26,Verão 2026,3,133942
475,MENINA ANJO,V26,Verão 2026,3,29632
475,VALENT,V26,Verão 2026,3,31580
499,KIKI,I25,Inverno 2025,1,2157
499,KIKI,V26,Verão 2026,3,8416
499,MENINA ANJO,V26,Verão 2026,3,4232
499,VALENT,V26,Verão 2026,3,3186
