codcli,profile
0,FREQUENTE
2,VIP
20,REGULAR
26,VIP
28,VIP
100,REGULAR
106,REGULAR
139,EVENTUAL
143,FREQUENTE
144,VIP
150,EVENTUAL
157,FREQUENTE
158,REGULAR
194,REGULAR
197,VIP
198,EVENTUAL
245,VIP
259,REGULAR
285,REGULAR
288,REGULAR
296,REGULAR
297,REGULAR
299,REGULAR
301,EVENTUAL
312,REGULAR
319,VIP
344,FREQUENTE
348,REGULAR
350,FREQUENTE
352,VIP
359,EVENTUAL
393,FREQUENTE
430,VIP
433,VIP
439,FREQUENTE
446,EVENTUAL
462,FREQUENTE
468,VIP
475,REGULAR
499,VIP
505,VIP
520,REGULAR
528,EVENTUAL
531,REGULAR
532,REGULAR
548,REGULAR
555,VIP
561,EVENTUAL
562,REGULAR
592,FREQUENTE
601,REGULAR
605,EVENTUAL
611,EVENTUAL
624,REGULAR
635,EVENTUAL
708,EVENTUAL
716,VIP
737,FREQUENTE
759,REGULAR
768,REGULAR
778,REGULAR
779,FREQUENTE
782,FREQUENTE
784,VIP
786,REGULAR
792,VIP
852,REGULAR
886,REGULAR
920,REGULAR
922,FREQUENTE
967,REGULAR
976,EVENTUAL
977,REGULAR
986,VIP
1012,EVENTUAL
1066,FREQUENTE
1067,EVENTUAL
1068,EVENTUAL
1124,REGULAR
1133,REGULAR
1171,REGULAR
1197,EVENTUAL
1198,REGULAR
1268,VIP
1278,VIP
1289,REGULAR
1302,EVENTUAL
1350,VIP
1351,REGULAR
1380,REGULAR
1391,REGULAR
1396,FREQUENTE
1442,REGULAR
1447,VIP
1451,EVENTUAL
1492,REGULAR
1501,VIP
1520,EVENTUAL
1560,EVENTUAL
1572,REGULAR
1594,EVENTUAL
1624,FREQUENTE
1656,REGULAR
1658,FREQUENTE
1659,EVENTUAL
1660,REGULAR
1664,REGULAR
1665,REGULAR
1668,FREQUENTE
1669,FREQUENTE
1674,REGULAR
1677,EVENTUAL
1679,REGULAR
1682,FREQUENTE
1683,REGULAR
1685,VIP
1686,REGULAR
1687,REGULAR
1688,FREQUENTE
1689,FREQUENTE
1690,REGULAR
1692,REGULAR
1695,VIP
1697,REGULAR
1710,REGULAR
1722,EVENTUAL
1724,REGULAR
1725,EVENTUAL
1727,EVENTUAL
1732,EVENTUAL
1745,VIP
1758,EVENTUAL
1766,EVENTUAL
1776,FREQUENTE
1777,REGULAR
1790,REGULAR
1793,FREQUENTE
1814,VIP
1850,REGULAR
